City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,cayenne,4.93,-52.33,77.0,100,90,6.91,GF,1590286508
153,tutayev,57.89,39.54,42.8,93,100,6.71,RU,1590286580
154,bengkulu,-3.8,102.27,83.8,65,1,1.72,ID,1590286581
155,banda aceh,5.56,95.32,84.54,74,100,10.02,ID,1590286581
156,sedro-woolley,48.5,-122.24,60.8,59,1,4.7,US,1590286581
157,victoria,22.29,114.16,82.99,69,20,8.99,HK,1590286524
158,medowie,-32.73,151.87,63.0,67,90,17.22,AU,1590286582
159,camacha,33.08,-16.33,66.2,77,40,12.75,PT,1590286583
160,lubango,-14.92,13.49,56.08,63,0,2.28,AO,1590286583
161,canutama,-6.53,-64.38,74.93,98,99,3.53,BR,1590286585
162,jamestown,42.1,-79.24,64.4,93,90,2.01,US,1590286585
163,kalat,29.02,66.59,67.39,26,0,1.1,PK,1590286586
164,sioux lookout,50.1,-91.92,64.4,72,90,4.7,CA,1590286588
165,richards bay,-28.78,32.04,62.04,79,1,4.07,ZA,1590286589
166,aykhal,66.0,111.5,71.6,30,5,6.71,RU,1590286589
167,mackay,-21.15,149.2,64.99,55,0,9.17,AU,1590286591
168,san francisco,37.77,-122.42,69.01,59,40,23.04,US,1590286333
169,saint-francois,46.42,3.91,43.0,87,90,2.24,FR,1590286594
170,kiunga,-6.12,141.29,77.83,89,99,3.42,PG,1590286594
171,edd,13.93,41.69,88.83,43,0,6.08,ER,1590286595
172,sao jose da coroa grande,-8.9,-35.15,78.19,88,25,7.02,BR,1590286527
173,talnakh,69.49,88.4,55.4,82,77,11.18,RU,1590286597
174,arman,59.7,150.17,46.89,61,92,6.17,RU,1590286598
175,inuvik,68.35,-133.72,55.4,37,20,13.87,CA,1590286598
176,mandera,3.94,41.87,76.71,73,18,10.47,KE,1590286598
177,bykovo,55.64,38.08,45.0,87,20,4.47,RU,1590286598
178,te anau,-45.42,167.72,55.08,70,100,0.54,NZ,1590286599
179,taber,49.82,-112.15,59.0,71,75,2.37,CA,1590286599
180,zasheyek,67.41,32.55,37.15,84,17,3.27,RU,1590286599
181,okitipupa,6.5,4.78,74.91,96,48,0.96,NG,1590286599
182,constitucion,-35.33,-72.42,57.24,42,8,5.84,CL,1590286600
183,altar,30.7,-111.82,81.0,14,0,7.0,MX,1590286600
184,murgab,37.5,61.97,68.0,56,0,3.8,TM,1590286600
185,simao,22.79,100.97,83.17,44,90,4.34,CN,1590286601
186,meulaboh,4.14,96.13,82.09,83,100,2.71,ID,1590286601
187,bethel,41.37,-73.41,55.4,66,75,4.7,US,1590286519
188,ancud,-41.87,-73.82,55.4,100,90,10.29,CL,1590286603
189,magadi,12.97,77.23,77.0,78,40,4.7,IN,1590286603
190,salalah,17.02,54.09,86.0,84,20,2.24,OM,1590286604
191,poum,-20.23,164.02,77.29,76,100,15.82,NC,1590286605
192,nemuro,43.32,145.57,55.4,87,75,9.17,JP,1590286605
193,harindanga,22.04,88.32,84.2,89,40,10.29,IN,1590286606
